ManualShift,X,Y
,4,2

Column,X_Shift,Y_Shift
0,-15,0
1,-15,0
2,-14,0
3,-14,0
4,-13,0
5,-12,0
6,-11,0
7,-10,0
8,-10,0
9,-9,0
10,-8,0
11,-7,0
12,-6,0
13,-6,0
14,-5,0
15,-4,0
16,-3,0
17,-2,0
18,-1,0
19,0,0
20,0,0
21,1,0
22,2,0
23,3,0
24,4,0
25,5,0
26,5,0
27,6,0
28,7,0
29,8,0
30,9,0
31,10,0
32,11,0
33,12,0
34,13,0
35,13,0
36,14,0
37,15,0
38,16,0
39,17,0

Column,Total_X_Shift,Total_Y_Shift
0,-11,2
1,-11,2
2,-10,2
3,-10,2
4,-9,2
5,-8,2
6,-7,2
7,-6,2
8,-6,2
9,-5,2
10,-4,2
11,-3,2
12,-2,2
13,-2,2
14,-1,2
15,0,2
16,1,2
17,2,2
18,3,2
19,4,2
20,4,2
21,5,2
22,6,2
23,7,2
24,8,2
25,9,2
26,9,2
27,10,2
28,11,2
29,12,2
30,13,2
31,14,2
32,15,2
33,16,2
34,17,2
35,17,2
36,18,2
37,19,2
38,20,2
39,21,2
