,,,laptop,desktop,compare
160,128,1024,391.24,777.12,0.503448631
160,128,512,393.86,608.53,0.647231854
160,128,256,148.74,208.88,0.712083493
160,64,1024,249.52,403.8,0.617929668
160,64,512,209.62,332.25,0.630910459
160,64,256,71.39,126.23,0.565554939
80,128,1024,494.03,820.18,0.602343388
80,128,512,367.5,613.96,0.598573197
80,128,256,135.72,244.54,0.555001227
80,64,1024,254.77,420.05,0.606523033
80,64,512,196.45,329.35,0.596477911
80,64,256,78.3,145.98,0.536374846
40,128,1024,493.52,847.89,0.582056635
40,128,512,387.94,659.76,0.588001698
40,128,256,146.28,268.46,0.544885644
40,64,1024,259.91,432.46,0.601003561
40,64,512,206.18,354.39,0.581788425
40,64,256,83.7,155.96,0.536676071
,,,,,0.58927026
