,1,2,3,4,5
10,17.74535545,16.74330321,16.94323654,15.4932109,16.73127652
15,19.24492981,17.97653878,17.99465962,15.94271603,17.78971106
20,20.68131154,18.78833686,18.74352083,16.29380962,18.62674471
25,21.20792244,18.3275484,18.38654679,15.96266795,18.47117139
30,21.72668654,18.32769615,18.48340833,15.87598942,18.60344511
35,21.71107404,18.21871282,18.40987596,15.84003494,18.54492444
40,21.70090801,18.08848814,18.38837917,15.7780141,18.48894736
45,21.73841827,18.11609679,18.37392821,15.85186474,18.520077
50,22.27176667,17.83505545,18.19513462,15.66856186,18.49262965
55,22.09023846,18.18226859,18.41109936,15.83937949,18.63074647
60,22.13411282,18.31806538,18.56266891,15.88519135,18.72500962
65,22.14082628,18.34246058,18.55516763,15.89761538,18.73401747
70,22.22206699,18.25900833,18.51400224,15.86151987,18.71414936
75,22.24766474,18.18073109,18.44214744,15.82057917,18.67278061
80,22.28782788,18.03789391,18.36889359,15.76129327,18.61397716
85,22.35021731,18.14248301,18.42449103,15.82991218,18.68677588
90,22.37127404,18.15729551,18.43934455,15.83111859,18.69975817
95,22.34684295,18.19255737,18.45944423,15.83611442,18.70873974
100,22.24815513,18.23457468,18.49423558,15.84848462,18.7063625
