10,20.52179487,20.3,20.1,20.2,20.4,20.9,20.9,19.9,20.9,21.1,20,20.2,20.6,20.5,20.9,21.3,21.3,21.1,21.2,21,20.7,20.9,20.4,20.1,21,20.8,20.9,21.2,20.4,21,21,19.9,20.7,20.9,21.3,20.5,20.2,20.3,21.2,21.1,20.7,21.2,20.7,20.6,20.5,20.9,20.3,20.3,21.2,20.6,20.6,20.5,19.8,19.7,20.4,20.9,20.5,20.7,20.7,20.4,20.1,20.6,20.7,20.9,20.5,20.2,20.1,19.7,20,20,20.5,20.2,19.9,20,19.3,20,19.8,19.8,19.9
15,22.86923077,20.4,20.7,21.3,21.9,21.7,22,22.3,22.1,22.1,22.3,22.3,22.9,22.6,22.8,22.6,23.5,23.8,22.8,23,23,22,22.9,24.1,23.6,23,23.1,23.5,23.7,23.1,23.1,22.7,23.3,23.2,23.3,23.3,22.9,23.9,23,23.9,23.5,23.6,23.3,22.9,23.9,23,23.2,23,22.8,23.7,23,23.3,22.7,23.4,22.4,22.2,22.5,22.7,24,22.8,23,23.3,23.3,23,23.5,22,22.6,23.2,22.8,23.1,22.4,22.2,22.2,22.3,23,22.6,22.9,23.4,23.4
20,25.82692308,22.3,23.6,24.4,24.7,24.4,25.2,25.7,25.6,25.5,26.1,25.5,25.4,25.6,25.7,25.3,25.2,25.6,26,25.5,25.5,26.1,25.1,25.9,26.1,25,26.1,25.3,25.5,25.4,25,24.8,25.2,24.6,24.9,24.5,24.9,24.9,25.1,24.9,24.7,24.7,25.1,25,24.9,25.1,24.9,25.2,25.3,25.1,24.7,25.1,25,25.2,24.9,25.4,25.1,25.4,24.8,26.2,28.1,27.6,27.6,27.8,28.7,27.3,28.1,27.8,27.9,28,27.9,28,27.7,27.5,28,27.9,28.3,28.3,28.1
25,30.73076923,24.5,26.6,28.4,28.8,29.2,30.3,30.4,30.5,30.3,30.3,30.3,30.5,32.2,31.2,31.1,30.9,31.2,30.9,31.3,31.4,31.1,30.9,31.2,31.2,31.6,30.5,30.8,30.7,31.3,31.1,31.1,31.4,30.9,31,30.7,31.4,31.4,30.7,31.1,30.8,31.1,31.3,30.9,30.7,31.2,30.6,31.2,31.4,30.6,31.2,30.5,31.1,30.8,30.5,30.7,31.4,31,30.8,30.8,30.8,31.5,31.9,30.4,31.1,31,30.7,30.6,30.7,30.6,31,31.3,31.7,30.6,30.6,31.4,30.5,30.8,30.8
30,33.1474359,27.1,28.8,30.2,30.8,31.8,33,33,32.5,32.8,32.5,32.9,33.4,33.7,33.5,32.7,33,34.1,32.9,33.2,33.5,32.6,33.7,33,33.2,33.4,33,33.6,33.8,33.5,33.1,33.6,33.1,33.1,33,33.5,33.6,33.5,33.2,33.4,33.2,34,33.9,33.8,33.3,33.5,32.6,33.2,33,33,33.8,32.9,33.2,33.3,33.8,32.8,33.2,33.6,33.6,33.8,33.9,33.4,33.5,33.4,33.6,33.2,33.2,34,33.5,34,33.7,33.1,34,33.9,33.5,33.7,34.2,33.2,34.7
35,36.82948718,28.8,30.1,32.7,33.5,34.9,34.8,35.2,35.9,36.5,35.8,37.2,36.8,37.9,36.2,36.2,37.1,37.6,37.8,37.2,37.4,37.3,37.4,36.1,37.2,37.4,38,36.5,36.9,37.7,37,38.5,38.1,37.3,37.3,37.9,37.6,37.1,37.7,37.7,36.5,37.5,36.4,36.4,37,37.2,36.4,36.3,36.5,37.2,36.8,37.5,37.6,37,36.9,36.2,36.6,37.4,37.5,37.6,37.9,38.9,39.7,37.8,37.4,36,37,36.6,39,38.5,37.8,37.9,37.1,38.5,37,36.9,37,36,36.9
40,40.63846154,29.6,32.3,35.1,35.4,37.2,38.7,38.7,40.1,38.3,38.5,39.9,38.7,41.5,40.3,40.3,41.2,43.1,42.6,41.8,42.5,42.1,42.2,42,41.9,42.3,41.7,41.8,40.9,42,41.5,42.5,40.6,41.8,40.8,41.1,40.9,40.3,40.7,41.2,42.8,39.7,41.7,42.2,42,43.4,40.3,40.3,40.6,41.2,41.8,41.4,41.8,40.6,41.3,41,41.5,41.8,40.6,41.2,41.3,41.2,41.2,41.7,40.8,41.1,40.6,40.2,40.6,41.4,41.3,40.3,41.5,40.7,40.6,41.7,40.1,41.1,41.1
45,44.91410256,30.7,34.6,37.2,38.2,38.9,41.4,41.2,45.4,46.1,45.5,43.7,44.7,44.3,43.9,44.9,45.4,45.4,45.1,45.3,46.5,46.2,45,45.9,45.3,45.4,46.1,45.1,46,46.3,45.3,45.1,45.2,46.3,45.3,45.4,45.3,45.9,45.5,45.9,45.8,45.4,46.2,44.8,45.4,45.6,46.9,45.8,45.8,45.7,46.3,45.8,45.6,45.5,46,45.9,45.9,45.4,45.8,46.8,46.3,45.3,46,46.9,46.4,45.6,46.4,45.5,46.5,45.6,45.7,46.2,45.3,45.7,45.8,45.6,46.2,45.8,45.2
50,48.57179487,32.4,36,39.4,41.6,48.9,47.7,46.6,47.3,47.4,48.3,48.3,48.5,48.5,49,47.5,49.4,48.9,48.2,48.3,48.5,47.6,47.9,48.4,49,48.3,49.3,49.3,49.7,49,48.8,48.4,48.6,49.8,49,48,48.9,48.6,48.9,49.9,48.9,48.2,48.3,48.3,48.5,48.7,49.2,48.1,55.1,49.9,49.1,49.4,51.3,50.5,50.1,49.5,49.6,49,49.5,49.2,48.9,49.3,49.9,50.3,51,50.2,50.1,50.8,50.8,52,50.2,49.5,49.7,48.9,49.9,49.4,49.9,49.6,49.7
55,53.76538462,34,40.1,44.3,49.9,49.5,49.6,51.1,51.4,51.4,51.8,51.2,52.4,54.3,56.6,56.5,57.8,57.2,56.4,57.7,58.1,58.9,58.3,58.3,58.4,59.1,59.2,59.3,58.3,58.2,58.4,59.1,56.4,55.9,55.3,54.5,54.2,53.8,53.7,53.2,54.1,53.4,53.2,54.5,53.3,52.8,52.6,53.1,53.6,52.7,54,53.8,54,54.1,53.7,53.9,53,52.3,52.4,52.7,52.6,52.5,53.3,54.5,53.5,53.6,53.2,54.4,54,52.9,52.7,53,52.6,54,53.8,54.1,52.3,52.3,53.4
