31.1,32.1,32.4,31.5,31.6,32.4,31.8,32.2,32.4,31.6,31.2,31,31.9,32.7,31.7,31.8,32.8,31.8,32.8,32.5,32.5,32.5,33,32.1,30.7,31,32.5,32.7,32.3,31.9,32.5,32.7,31.9,30.5,32.1,32.1,32.3,31.5,31.6,32.2,31.1,30.9,31.1,30.5,31.7,30.6,31.6,30.2,30.1,31,31,30.4,31.3,31.6,29.9,30.4,31.3,30.6,30.7,30.1,31,30.8,32.7,31.8,31.1,31,31.4,31.8,30.8,31.9,32.7,34.4,32.2,30.9,31.6,30.9,31.3,29.8
33.9,36,34.3,34.9,34.2,35.3,34.9,35.3,36.4,36.4,35.7,35.8,35.3,35,34.9,33.6,34.7,34.7,35.7,36,35,35.5,35.5,35.4,34.4,35,34.9,35.2,35.8,36.3,37.4,36.5,35.7,35.6,36.3,35.4,37.7,36.5,36,36.2,36.7,36.6,36,35.8,35.9,37.1,35.3,35.7,36.4,34.8,35.5,36.8,35.7,35.6,36.8,37.3,35.9,35.9,36,35,35.1,35.7,35.1,35.7,34.9,35.8,36.6,35.4,35.3,35.7,36,35.4,35.4,36.9,36.2,35.3,34.8,35.6
35.5,37.9,38.2,38.2,38.9,39.4,40.2,45.1,43.4,44.2,46.1,45.7,45.3,44.2,46,46.2,43.8,45.3,46.6,45.3,44.7,45.1,48.7,50.8,49.5,47.5,45.6,45.8,44.6,45.4,45.3,46.8,44.5,44.8,46.8,45.5,45.2,45.1,45.6,47.2,44.6,46,44.3,45.6,45.1,45,45.5,46.7,45.7,44.9,43.8,47.8,45.1,44.5,44.7,46,45.9,44.8,44,46,44.4,47.7,46,45.7,46.4,46.3,48.5,44.1,47,43.3,43.1,41.3,42.6,43.5,41.4,41.6,41.5,43.3
39,43.7,43.2,46.4,46.1,45.4,46.1,50.8,49.1,45.4,45.3,47.4,48.6,47.2,48.3,49.1,47.4,46.7,51.7,49,49.9,47.4,47.9,47.6,48.5,49.6,50.3,49.7,48.8,48.8,52.7,50.6,49.1,52.9,51.6,51,50.3,51.3,51.1,48.9,51.5,51.5,52.6,52.3,49.3,52.2,51.9,51.4,51.2,52.3,51.2,51.4,51.8,53.2,49.6,51.1,50.7,49.9,50.1,50.2,50.8,48.7,49.1,48.1,50,48.1,48.5,50.6,51.8,48,47.4,49.9,51.8,50.6,51.8,53.3,53,51.7
47.2,50.9,51.9,54.1,56.5,56.9,56.2,58,56.7,55.5,57.1,56,54.1,52.7,55.8,53.5,53.1,54.4,54.6,53,53.6,55.2,53.6,50,51.7,52.7,51.3,50.6,51.5,51.1,51.5,50,51.3,51.7,50.6,53.2,51.5,50.4,51.1,51,53.3,51.4,50.1,53,50.7,51.3,50.5,49.6,49.8,50.9,50.9,51.6,50.9,50.5,51.3,50.4,52.2,51.3,51.1,50.3,52.6,53.4,52.4,51.6,50.5,50.7,51.9,50.9,51.3,51.4,50.6,54.3,55.3,53.2,57.1,54.7,51.5,52.7
49.1,48.7,51.5,54.2,52.4,55,56.7,56.5,59.8,58,59.2,60.3,58.9,56.9,59.1,59.3,57.4,56.3,56,54.8,56.8,57.5,62.2,62.6,64.3,57.8,63.6,58.5,57.8,57.8,54.8,59.5,64.6,57.2,62.4,60.2,56.6,57.8,57.2,56.7,55.3,54.9,54.7,55.3,55.9,55.9,55.7,55.6,55,55.4,57.4,56.8,55.3,54.6,55.8,54.3,55.5,55.7,54.9,54.5,55,56,55.3,55.6,57.9,54.5,54.8,54.8,55.5,55.3,55.3,54.5,55.3,54.8,56.2,55,55.1,55.7
50.7,52.4,53.3,55.4,57.2,57.7,59,59,58.6,58.9,59.7,59.1,61.3,60.6,62.3,62.2,61.5,60.1,62.2,59.8,59.6,61,60.3,59.4,63.2,59,62.2,61,60.3,60.4,61.5,59.9,58.8,61.8,59.5,61.8,61.9,60.6,60.6,59.2,59.2,59.8,60.4,60,62.2,63.3,61.1,61.5,59.5,59.9,61.4,59.8,59,59.4,59.5,60.2,59.9,59,58.2,62.3,58.8,59.6,60.6,59.1,61.7,60.8,59.3,59.7,59.9,60.4,60.7,61.1,60.3,60.4,59.9,60.5,59.9,59.4
53,55.4,57.4,60.9,63.1,64,64.4,65.6,65.9,66.5,66.6,64.5,66.8,65.7,66.6,66,66.4,66,67,65.9,66.2,66.4,66.5,65.2,66.1,66.9,66.4,64.2,67.1,66.6,66.3,66.5,65.9,67.9,67.4,66,67,69,68.2,68.9,66.5,68,66.5,67.8,67.5,67,66.9,65.9,66.1,66,65.8,65.2,65.5,65.2,64.4,66.9,65.9,66.3,65.9,65.8,65.9,67,67.2,67.3,67,66,65.6,68.8,67.1,67,67.2,66.7,67,67.7,67.6,69.3,65.8,67
54.9,58.7,62.4,64,69.8,69.8,68.5,70,71,70.9,72.4,72.1,71.7,72.4,73.3,73.3,71.7,72.3,72.6,74.1,73,73.2,72.4,72.1,73.2,71.9,72.2,71.1,73.3,73.3,75.3,74.1,74.8,74.8,73.6,73.2,72.3,72.5,72.4,71.7,72.3,74.2,72.3,74.4,73.8,72.7,72.5,73.1,71.9,72.1,71.6,71.9,71.4,72,71.8,71.3,72.1,72.2,73,73.2,72.3,72.2,72.2,72.7,71.4,72.5,72.4,71.5,72,71.7,73.6,71.9,72.1,72.3,72.7,71.8,72.2,72.4
57.7,62.8,67.2,73.6,71.6,73.2,74.1,75.1,74.8,75.4,76.3,75.9,76,75.7,76,76.8,76.3,76.9,79,77.7,77.3,77.2,76.9,77.2,78.1,78.4,78,79.6,80.3,76.6,77.1,78.9,78.6,78.4,78.3,78.1,78.2,77.5,78.3,78.3,80.3,78,79.7,79.5,77.2,77.8,76.6,77.2,77.1,77.2,77.3,77.7,76.9,76.6,77,77.3,77.9,78.5,77.3,77.7,76.8,77.2,77.5,77.5,77.5,78.7,78.4,79.6,78.1,79.4,78.8,78.7,77.4,78.6,77.8,77.6,77.1,77.8
