ManualShift,X,Y,
,9,0,
,,,
Column,X_Shift,Y_Shift,
0,-9,0,
1,-8,0,
2,-7,0,
3,-6,0,
4,-7,0,
5,-6,0,
6,-6,0,
7,-5,0,
8,-4,0,
9,-4,0,
10,-3,0,
11,-3,0,
12,-2,0,
13,-2,0,
14,-2,0,
15,-1,0,
16,-1,0,
17,-1,0,
18,0,0,
19,0,0,
20,1,0,
21,1,0,
22,2,0,
23,3,0,
24,3,0,
25,3,0,
26,3,0,
27,4,0,
28,5,0,
29,4,0,
30,5,0,
31,5,0,
32,6,0,
33,6,0,
34,6,0,
35,7,0,
36,6,0,
37,7,0,
38,7,0,
39,7,0,
,,,
Row,X_Shift,Y_Shift,
0,0,-9,
1,0,-10,
2,0,-9,
3,0,-7,
4,0,-7,
5,0,-6,
6,0,-6,
7,0,-5,
8,0,-4,
9,0,-4,
10,0,-4,
11,0,-4,
12,0,-3,
13,0,-2,
14,0,-3,
15,0,-2,
16,0,-2,
17,0,-1,
18,0,0,
19,0,0,
20,0,0,
21,0,0,
22,0,1,
23,0,2,
24,0,2,
25,0,3,
26,0,3,
27,0,3,
28,0,4,
29,0,4,
30,0,5,
31,0,4,
32,0,5,
33,0,6,
34,0,5,
35,0,6,
36,0,6,
37,0,7,
38,0,7,
39,0,6,
,,,
Position,Total_X_Shift,Total_Y_Shift,
(0,0),0,-9
(1,0),1,-9
(2,0),2,-9
(3,0),3,-9
(4,0),2,-9
(5,0),3,-9
(6,0),3,-9
(7,0),4,-9
(8,0),5,-9
(9,0),5,-9
(10,0),6,-9
(11,0),6,-9
(12,0),7,-9
(13,0),7,-9
(14,0),7,-9
(15,0),8,-9
(16,0),8,-9
(17,0),8,-9
(18,0),9,-9
(19,0),9,-9
(20,0),10,-9
(21,0),10,-9
(22,0),11,-9
(23,0),12,-9
(24,0),12,-9
(25,0),12,-9
(26,0),12,-9
(27,0),13,-9
(28,0),14,-9
(29,0),13,-9
(30,0),14,-9
(31,0),14,-9
(32,0),15,-9
(33,0),15,-9
(34,0),15,-9
(35,0),16,-9
(36,0),15,-9
(37,0),16,-9
(38,0),16,-9
(39,0),16,-9
(0,1),0,-10
(1,1),1,-10
(2,1),2,-10
(3,1),3,-10
(4,1),2,-10
(5,1),3,-10
(6,1),3,-10
(7,1),4,-10
(8,1),5,-10
(9,1),5,-10
(10,1),6,-10
(11,1),6,-10
(12,1),7,-10
(13,1),7,-10
(14,1),7,-10
(15,1),8,-10
(16,1),8,-10
(17,1),8,-10
(18,1),9,-10
(19,1),9,-10
(20,1),10,-10
(21,1),10,-10
(22,1),11,-10
(23,1),12,-10
(24,1),12,-10
(25,1),12,-10
(26,1),12,-10
(27,1),13,-10
(28,1),14,-10
(29,1),13,-10
(30,1),14,-10
(31,1),14,-10
(32,1),15,-10
(33,1),15,-10
(34,1),15,-10
(35,1),16,-10
(36,1),15,-10
(37,1),16,-10
(38,1),16,-10
(39,1),16,-10
(0,2),0,-9
(1,2),1,-9
(2,2),2,-9
(3,2),3,-9
(4,2),2,-9
(5,2),3,-9
(6,2),3,-9
(7,2),4,-9
(8,2),5,-9
(9,2),5,-9
(10,2),6,-9
(11,2),6,-9
(12,2),7,-9
(13,2),7,-9
(14,2),7,-9
(15,2),8,-9
(16,2),8,-9
(17,2),8,-9
(18,2),9,-9
(19,2),9,-9
(20,2),10,-9
(21,2),10,-9
(22,2),11,-9
(23,2),12,-9
(24,2),12,-9
(25,2),12,-9
(26,2),12,-9
(27,2),13,-9
(28,2),14,-9
(29,2),13,-9
(30,2),14,-9
(31,2),14,-9
(32,2),15,-9
(33,2),15,-9
(34,2),15,-9
(35,2),16,-9
(36,2),15,-9
(37,2),16,-9
(38,2),16,-9
(39,2),16,-9
(0,3),0,-7
(1,3),1,-7
(2,3),2,-7
(3,3),3,-7
(4,3),2,-7
(5,3),3,-7
(6,3),3,-7
(7,3),4,-7
(8,3),5,-7
(9,3),5,-7
(10,3),6,-7
(11,3),6,-7
(12,3),7,-7
(13,3),7,-7
(14,3),7,-7
(15,3),8,-7
(16,3),8,-7
(17,3),8,-7
(18,3),9,-7
(19,3),9,-7
(20,3),10,-7
(21,3),10,-7
(22,3),11,-7
(23,3),12,-7
(24,3),12,-7
(25,3),12,-7
(26,3),12,-7
(27,3),13,-7
(28,3),14,-7
(29,3),13,-7
(30,3),14,-7
(31,3),14,-7
(32,3),15,-7
(33,3),15,-7
(34,3),15,-7
(35,3),16,-7
(36,3),15,-7
(37,3),16,-7
(38,3),16,-7
(39,3),16,-7
(0,4),0,-7
(1,4),1,-7
(2,4),2,-7
(3,4),3,-7
(4,4),2,-7
(5,4),3,-7
(6,4),3,-7
(7,4),4,-7
(8,4),5,-7
(9,4),5,-7
(10,4),6,-7
(11,4),6,-7
(12,4),7,-7
(13,4),7,-7
(14,4),7,-7
(15,4),8,-7
(16,4),8,-7
(17,4),8,-7
(18,4),9,-7
(19,4),9,-7
(20,4),10,-7
(21,4),10,-7
(22,4),11,-7
(23,4),12,-7
(24,4),12,-7
(25,4),12,-7
(26,4),12,-7
(27,4),13,-7
(28,4),14,-7
(29,4),13,-7
(30,4),14,-7
(31,4),14,-7
(32,4),15,-7
(33,4),15,-7
(34,4),15,-7
(35,4),16,-7
(36,4),15,-7
(37,4),16,-7
(38,4),16,-7
(39,4),16,-7
(0,5),0,-6
(1,5),1,-6
(2,5),2,-6
(3,5),3,-6
(4,5),2,-6
(5,5),3,-6
(6,5),3,-6
(7,5),4,-6
(8,5),5,-6
(9,5),5,-6
(10,5),6,-6
(11,5),6,-6
(12,5),7,-6
(13,5),7,-6
(14,5),7,-6
(15,5),8,-6
(16,5),8,-6
(17,5),8,-6
(18,5),9,-6
(19,5),9,-6
(20,5),10,-6
(21,5),10,-6
(22,5),11,-6
(23,5),12,-6
(24,5),12,-6
(25,5),12,-6
(26,5),12,-6
(27,5),13,-6
(28,5),14,-6
(29,5),13,-6
(30,5),14,-6
(31,5),14,-6
(32,5),15,-6
(33,5),15,-6
(34,5),15,-6
(35,5),16,-6
(36,5),15,-6
(37,5),16,-6
(38,5),16,-6
(39,5),16,-6
(0,6),0,-6
(1,6),1,-6
(2,6),2,-6
(3,6),3,-6
(4,6),2,-6
(5,6),3,-6
(6,6),3,-6
(7,6),4,-6
(8,6),5,-6
(9,6),5,-6
(10,6),6,-6
(11,6),6,-6
(12,6),7,-6
(13,6),7,-6
(14,6),7,-6
(15,6),8,-6
(16,6),8,-6
(17,6),8,-6
(18,6),9,-6
(19,6),9,-6
(20,6),10,-6
(21,6),10,-6
(22,6),11,-6
(23,6),12,-6
(24,6),12,-6
(25,6),12,-6
(26,6),12,-6
(27,6),13,-6
(28,6),14,-6
(29,6),13,-6
(30,6),14,-6
(31,6),14,-6
(32,6),15,-6
(33,6),15,-6
(34,6),15,-6
(35,6),16,-6
(36,6),15,-6
(37,6),16,-6
(38,6),16,-6
(39,6),16,-6
(0,7),0,-5
(1,7),1,-5
(2,7),2,-5
(3,7),3,-5
(4,7),2,-5
(5,7),3,-5
(6,7),3,-5
(7,7),4,-5
(8,7),5,-5
(9,7),5,-5
(10,7),6,-5
(11,7),6,-5
(12,7),7,-5
(13,7),7,-5
(14,7),7,-5
(15,7),8,-5
(16,7),8,-5
(17,7),8,-5
(18,7),9,-5
(19,7),9,-5
(20,7),10,-5
(21,7),10,-5
(22,7),11,-5
(23,7),12,-5
(24,7),12,-5
(25,7),12,-5
(26,7),12,-5
(27,7),13,-5
(28,7),14,-5
(29,7),13,-5
(30,7),14,-5
(31,7),14,-5
(32,7),15,-5
(33,7),15,-5
(34,7),15,-5
(35,7),16,-5
(36,7),15,-5
(37,7),16,-5
(38,7),16,-5
(39,7),16,-5
(0,8),0,-4
(1,8),1,-4
(2,8),2,-4
(3,8),3,-4
(4,8),2,-4
(5,8),3,-4
(6,8),3,-4
(7,8),4,-4
(8,8),5,-4
(9,8),5,-4
(10,8),6,-4
(11,8),6,-4
(12,8),7,-4
(13,8),7,-4
(14,8),7,-4
(15,8),8,-4
(16,8),8,-4
(17,8),8,-4
(18,8),9,-4
(19,8),9,-4
(20,8),10,-4
(21,8),10,-4
(22,8),11,-4
(23,8),12,-4
(24,8),12,-4
(25,8),12,-4
(26,8),12,-4
(27,8),13,-4
(28,8),14,-4
(29,8),13,-4
(30,8),14,-4
(31,8),14,-4
(32,8),15,-4
(33,8),15,-4
(34,8),15,-4
(35,8),16,-4
(36,8),15,-4
(37,8),16,-4
(38,8),16,-4
(39,8),16,-4
(0,9),0,-4
(1,9),1,-4
(2,9),2,-4
(3,9),3,-4
(4,9),2,-4
(5,9),3,-4
(6,9),3,-4
(7,9),4,-4
(8,9),5,-4
(9,9),5,-4
(10,9),6,-4
(11,9),6,-4
(12,9),7,-4
(13,9),7,-4
(14,9),7,-4
(15,9),8,-4
(16,9),8,-4
(17,9),8,-4
(18,9),9,-4
(19,9),9,-4
(20,9),10,-4
(21,9),10,-4
(22,9),11,-4
(23,9),12,-4
(24,9),12,-4
(25,9),12,-4
(26,9),12,-4
(27,9),13,-4
(28,9),14,-4
(29,9),13,-4
(30,9),14,-4
(31,9),14,-4
(32,9),15,-4
(33,9),15,-4
(34,9),15,-4
(35,9),16,-4
(36,9),15,-4
(37,9),16,-4
(38,9),16,-4
(39,9),16,-4
(0,10),0,-4
(1,10),1,-4
(2,10),2,-4
(3,10),3,-4
(4,10),2,-4
(5,10),3,-4
(6,10),3,-4
(7,10),4,-4
(8,10),5,-4
(9,10),5,-4
(10,10),6,-4
(11,10),6,-4
(12,10),7,-4
(13,10),7,-4
(14,10),7,-4
(15,10),8,-4
(16,10),8,-4
(17,10),8,-4
(18,10),9,-4
(19,10),9,-4
(20,10),10,-4
(21,10),10,-4
(22,10),11,-4
(23,10),12,-4
(24,10),12,-4
(25,10),12,-4
(26,10),12,-4
(27,10),13,-4
(28,10),14,-4
(29,10),13,-4
(30,10),14,-4
(31,10),14,-4
(32,10),15,-4
(33,10),15,-4
(34,10),15,-4
(35,10),16,-4
(36,10),15,-4
(37,10),16,-4
(38,10),16,-4
(39,10),16,-4
(0,11),0,-4
(1,11),1,-4
(2,11),2,-4
(3,11),3,-4
(4,11),2,-4
(5,11),3,-4
(6,11),3,-4
(7,11),4,-4
(8,11),5,-4
(9,11),5,-4
(10,11),6,-4
(11,11),6,-4
